,precision,recall,f1-score,support
Politics,0.8351063829787234,0.785,0.8092783505154639,200.0
Sports,0.8905472636815921,0.895,0.8927680798004988,200.0
Technology,0.7692307692307693,0.75,0.759493670886076,200.0
Business,0.6542056074766355,0.7,0.6763285024154589,200.0
Entertainment,0.8366336633663366,0.845,0.8407960199004975,200.0
accuracy,0.795,0.795,0.795,0.795
macro avg,0.7971447373468112,0.7949999999999999,0.7957329247035989,1000.0
weighted avg,0.7971447373468113,0.795,0.795732924703599,1000.0
